Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/163,-67.0007,0.0019,749.0,0.569,34.689999,33.82,
PS71/163,-67.0007,0.0019,1000.8,0.442,34.687,33.970001,0.229268
PS71/163,-67.0007,0.0019,1251.1,0.32,34.681999,34.060001,0.22439
PS71/163,-67.0007,0.0019,1501.0,0.215,34.676998,34.080002,0.253659
PS71/163,-67.0007,0.0019,1750.7,0.122,34.673,34.400002,
PS71/163,-67.0007,0.0019,1999.5,0.038,34.668999,33.91,0.517073
PS71/163,-67.0007,0.0019,2501.2,-0.091,34.664001,33.91,0.407805
PS71/163,-67.0007,0.0019,2999.5,-0.183,34.659,33.560001,0.4
PS71/163,-67.0007,0.0019,3499.8999,-0.23,34.657001,,
PS71/163,-67.0007,0.0019,4001.8,-0.258,34.653999,33.369999,0.312195
PS71/163,-67.0007,0.0019,4499.2998,-0.269,34.653,33.490002,0.463902
PS71/163,-67.0007,0.0019,4600.6001,-0.287,34.652,33.599998,0.35122
PS71/167,-68.0001,359.99951,6.4,-0.724,34.029999,,
PS71/167,-68.0001,359.99951,8.5,-0.729,34.027,25.92,0.087805
PS71/167,-68.0001,359.99951,24.5,-0.73,34.029999,,
PS71/167,-68.0001,359.99951,25.3,-0.731,34.028,25.940001,0.068293
PS71/167,-68.0001,359.99951,37.9,-0.804,34.062,,
PS71/167,-68.0001,359.99951,38.1,-0.736,34.030998,26.200001,0.136585
PS71/167,-68.0001,359.99951,38.2,-0.801,34.056999,,
PS71/167,-68.0001,359.99951,38.5,-0.771,34.047001,,
PS71/167,-68.0001,359.99951,38.5,-0.923,34.103001,,
PS71/167,-68.0001,359.99951,38.6,-0.804,34.061001,,
PS71/167,-68.0001,359.99951,38.6,-0.806,34.062,,
PS71/167,-68.0001,359.99951,38.6,-0.807,34.062,,
PS71/167,-68.0001,359.99951,38.8,-0.812,34.062,,
PS71/167,-68.0001,359.99951,38.8,-0.803,34.062,,
PS71/167,-68.0001,359.99951,38.8,-0.805,34.057999,,
PS71/167,-68.0001,359.99951,39.0,-0.822,34.067001,,
PS71/167,-68.0001,359.99951,39.1,-0.796,34.058998,,
PS71/167,-68.0001,359.99951,39.3,-0.772,34.047001,,
PS71/167,-68.0001,359.99951,39.3,-0.84,34.077,,
PS71/167,-68.0001,359.99951,39.5,-0.842,34.075001,,
PS71/167,-68.0001,359.99951,39.6,-0.742,34.033001,,
PS71/167,-68.0001,359.99951,39.8,-0.801,34.060001,,
PS71/167,-68.0001,359.99951,40.0,-0.886,34.096001,,
PS71/167,-68.0001,359.99951,49.6,-1.597,34.360001,27.879999,0.117073
PS71/167,-68.0001,359.99951,74.1,-1.578,34.43,29.27,0.146341
PS71/167,-68.0001,359.99951,74.6,-1.565,34.436001,,
PS71/167,-68.0001,359.99951,99.5,-0.902,34.514999,,
PS71/167,-68.0001,359.99951,100.2,-0.943,34.505001,30.690001,0.107317
PS71/167,-68.0001,359.99951,144.9,0.578,34.650002,32.150002,0.22439
PS71/167,-68.0001,359.99951,199.3,0.759,34.672001,32.18,0.214634
PS71/167,-68.0001,359.99951,250.0,0.712,34.674999,32.009998,0.204878
PS71/167,-68.0001,359.99951,297.5,0.742,34.681999,32.200001,0.214634
PS71/167,-68.0001,359.99951,399.1,0.748,34.691002,32.310001,0.273171
PS71/167,-68.0001,359.99951,498.9,0.662,34.688999,32.419998,0.321951
PS71/167,-68.0001,359.99951,749.1,0.542,34.688999,32.759998,0.439024
PS71/167,-68.0001,359.99951,999.5,0.436,34.687,33.080002,0.380488
PS71/167,-68.0001,359.99951,1252.2,0.305,34.681,33.27,0.341463
PS71/167,-68.0001,359.99951,1501.6,0.202,34.676998,33.25,0.468293
PS71/167,-68.0001,359.99951,1745.9,0.113,34.673,33.130001,0.321951
PS71/167,-68.0001,359.99951,1999.1,0.028,34.669998,33.099998,0.380488
PS71/167,-68.0001,359.99951,2498.5,-0.107,34.662998,32.860001,0.370732
